NodeKey,Value,DataType,Size,Quality,SourceTimeStamp,ServerTimeStamp,NodeKey:1,NodeId
5,771731,3,1,192,2024-03-19 13:26:58.478,2024-03-19 13:26:58.478,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:26:57.472,2024-03-19 13:26:57.472,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:26:55.467,2024-03-19 13:26:55.467,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:26:54.467,2024-03-19 13:26:54.467,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:26:53.471,2024-03-19 13:26:53.471,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:26:52.472,2024-03-19 13:26:52.472,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:26:51.475,2024-03-19 13:26:51.475,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:26:50.474,2024-03-19 13:26:50.474,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:26:49.477,2024-03-19 13:26:49.477,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:26:45.460,2024-03-19 13:26:45.460,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:26:43.476,2024-03-19 13:26:43.476,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:26:41.476,2024-03-19 13:26:41.476,5,Device1.ServoMonitor_CYCCNT1:OR
